name,year,month,day,hour,lat,long,status,category,wind,pressure,ts_diameter,hu_diameter
Amy,1975,6,27,0,27.5,-79,tropical depression,-1,25,1013,,
Amy,1975,6,27,6,28.5,-79,tropical depression,-1,25,1013,,
Amy,1975,6,27,12,29.5,-79,tropical depression,-1,25,1013,,
Amy,1975,6,27,18,30.5,-79,tropical depression,-1,25,1013,,
Amy,1975,6,28,0,31.5,-78.8,tropical depression,-1,25,1012,,
Amy,1975,6,28,6,32.4,-78.7,tropical depression,-1,25,1012,,
Amy,1975,6,28,12,33.3,-78,tropical depression,-1,25,1011,,
Amy,1975,6,28,18,34,-77,tropical depression,-1,30,1006,,
Amy,1975,6,29,0,34.4,-75.8,tropical storm,0,35,1004,,
Amy,1975,6,29,6,34,-74.8,tropical storm,0,40,1002,,
Amy,1975,6,29,12,33.8,-73.8,tropical storm,0,45,1000,,
Amy,1975,6,29,18,33.8,-72.8,tropical storm,0,50,998,,
Amy,1975,6,30,0,34.3,-71.6,tropical storm,0,50,998,,
Amy,1975,6,30,6,35.6,-70.8,tropical storm,0,55,998,,
Amy,1975,6,30,12,35.9,-70.5,tropical storm,0,60,987,,
Amy,1975,6,30,18,36.2,-70.2,tropical storm,0,60,987,,
Amy,1975,7,1,0,36.2,-69.8,tropical storm,0,60,984,,
Amy,1975,7,1,6,36.2,-69.4,tropical storm,0,60,984,,
Amy,1975,7,1,12,36.2,-68.3,tropical storm,0,60,984,,
Amy,1975,7,1,18,36.7,-67.2,tropical storm,0,60,984,,
Amy,1975,7,2,0,37.4,-66.7,tropical storm,0,60,984,,
Amy,1975,7,2,6,37.3,-65.9,tropical storm,0,60,984,,
Amy,1975,7,2,12,37.3,-65.1,tropical storm,0,60,981,,
Amy,1975,7,2,18,37.3,-64.1,tropical storm,0,60,986,,
Amy,1975,7,3,0,37.7,-62.8,tropical storm,0,55,986,,
Amy,1975,7,3,6,38.2,-61.2,tropical storm,0,55,986,,
Amy,1975,7,3,12,39.3,-59.6,tropical storm,0,55,986,,
Amy,1975,7,3,18,40.5,-58,tropical storm,0,50,986,,
Amy,1975,7,4,0,42.5,-54.8,tropical storm,0,50,986,,
Amy,1975,7,4,6,44.5,-51.6,tropical storm,0,50,986,,
Caroline,1975,8,24,12,22.4,-69.8,tropical depression,-1,25,1011,,
Caroline,1975,8,24,18,21.9,-71.1,tropical depression,-1,25,1011,,
Caroline,1975,8,25,0,21.6,-72.5,tropical depression,-1,25,1010,,
Caroline,1975,8,25,6,21.2,-73.8,tropical depression,-1,25,1010,,
Caroline,1975,8,25,12,20.9,-75.1,tropical depression,-1,25,1011,,
Caroline,1975,8,25,18,20.6,-76.4,tropical depression,-1,25,1011,,
Caroline,1975,8,26,0,20.4,-77.7,tropical depression,-1,25,1011,,
Caroline,1975,8,26,6,20.3,-79,tropical depression,-1,25,1011,,
Caroline,1975,8,26,12,20.2,-80.3,tropical depression,-1,25,1012,,
Caroline,1975,8,26,18,20.2,-81.6,tropical depression,-1,25,1012,,
Caroline,1975,8,27,0,20.4,-82.8,tropical depression,-1,25,1013,,
Caroline,1975,8,27,6,20.8,-84,tropical depression,-1,25,1013,,
Caroline,1975,8,27,12,21.1,-85.1,tropical depression,-1,25,1014,,
Caroline,1975,8,27,18,21.5,-86.3,tropical depression,-1,25,1014,,
Caroline,1975,8,28,0,22,-87.5,tropical depression,-1,25,1014,,
Caroline,1975,8,28,6,22.4,-88.8,tropical depression,-1,25,1014,,
Caroline,1975,8,28,12,22.8,-90.1,tropical depression,-1,25,1013,,
Caroline,1975,8,28,18,22.9,-91,tropical depression,-1,25,1010,,
Caroline,1975,8,29,0,23,-91.9,tropical depression,-1,30,1007,,
Caroline,1975,8,29,6,23.1,-92.6,tropical storm,0,35,1003,,
Caroline,1975,8,29,12,23.2,-93.2,tropical storm,0,40,999,,
Caroline,1975,8,29,18,23.2,-93.6,tropical storm,0,50,994,,
Caroline,1975,8,30,0,23.3,-94.2,hurricane,1,65,990,,
Caroline,1975,8,30,6,23.5,-94.9,hurricane,1,65,990,,
Caroline,1975,8,30,12,23.7,-95.6,hurricane,1,65,989,,
Caroline,1975,8,30,18,23.8,-96.3,hurricane,1,70,987,,
Caroline,1975,8,31,0,24,-97,hurricane,3,100,973,,
Caroline,1975,8,31,6,24.1,-97.5,hurricane,3,100,963,,
Caroline,1975,8,31,12,24.3,-97.8,hurricane,2,90,963,,
Caroline,1975,8,31,18,24.8,-98,tropical storm,0,55,993,,
Caroline,1975,9,1,0,25.1,-98.3,tropical depression,-1,30,1000,,
Caroline,1975,9,1,6,25.2,-98.7,tropical depression,-1,20,1002,,
Caroline,1975,9,1,12,25.3,-99,tropical depression,-1,20,1002,,
Doris,1975,8,29,12,34.9,-48.9,tropical storm,0,45,1005,,
Doris,1975,8,29,18,35.2,-49.1,tropical storm,0,50,1000,,
Doris,1975,8,30,0,35.3,-48.9,tropical storm,0,55,997,,
Doris,1975,8,30,6,35.3,-48.5,tropical storm,0,55,997,,
Doris,1975,8,30,12,35.3,-48,tropical storm,0,55,997,,
Doris,1975,8,30,18,35,-47.1,tropical storm,0,55,997,,
Doris,1975,8,31,0,34.9,-46.3,hurricane,1,65,990,,
Doris,1975,8,31,6,34.8,-45.7,hurricane,1,65,990,,
Doris,1975,8,31,12,34.7,-45.2,hurricane,1,70,990,,
Doris,1975,8,31,18,34.6,-44.9,hurricane,1,70,990,,
Doris,1975,9,1,0,34.5,-44.6,hurricane,1,75,984,,
Doris,1975,9,1,6,34.6,-44.2,hurricane,1,75,984,,
Doris,1975,9,1,12,34.9,-44,hurricane,1,75,984,,
Doris,1975,9,1,18,35.4,-44,hurricane,1,75,984,,
Doris,1975,9,2,0,35.8,-44.4,hurricane,2,90,970,,
Doris,1975,9,2,6,36.4,-44.5,hurricane,2,95,965,,
Doris,1975,9,2,12,37,-44.3,hurricane,2,95,965,,
Doris,1975,9,2,18,37.7,-44.2,hurricane,2,95,965,,
Doris,1975,9,3,0,38.4,-43.8,hurricane,2,95,965,,
Doris,1975,9,3,6,39.7,-43.6,hurricane,2,95,965,,
Doris,1975,9,3,12,41.1,-43,hurricane,2,95,965,,
Doris,1975,9,3,18,42,-42.5,hurricane,2,90,970,,
Doris,1975,9,4,0,42.8,-42,tropical storm,0,60,995,,
Belle,1976,8,6,6,26,-72.8,tropical depression,-1,25,1012,,
Belle,1976,8,6,12,26.3,-73,tropical depression,-1,25,1012,,
Belle,1976,8,6,18,26,-73.4,tropical depression,-1,30,1009,,
Belle,1976,8,7,0,25.6,-73.2,tropical storm,0,40,1005,,
Belle,1976,8,7,6,26,-73.2,tropical storm,0,45,1000,,
Belle,1976,8,7,12,26.2,-73.7,tropical storm,0,55,993,,
Belle,1976,8,7,18,26.6,-74.2,hurricane,1,70,985,,
Belle,1976,8,8,0,26.9,-74.6,hurricane,1,80,972,,
Belle,1976,8,8,6,27.4,-75.1,hurricane,2,90,962,,
Belle,1976,8,8,12,28.1,-75.1,hurricane,2,95,959,,
Belle,1976,8,8,18,29.5,-75.3,hurricane,3,100,958,,
Belle,1976,8,9,0,30.9,-75.3,hurricane,3,105,957,,
Belle,1976,8,9,6,32.5,-75.2,hurricane,3,105,959,,
Belle,1976,8,9,12,34.4,-74.7,hurricane,2,95,963,,
Belle,1976,8,9,18,36.6,-74.2,hurricane,2,90,970,,
Belle,1976,8,10,0,38.8,-73.8,hurricane,1,80,977,,
Belle,1976,8,10,6,41,-73.2,tropical storm,0,60,983,,
Belle,1976,8,10,12,42.6,-72.4,tropical storm,0,35,992,,
Gloria,1976,9,26,12,23,-58,tropical depression,-1,20,1009,,
Gloria,1976,9,26,18,23.7,-58.1,tropical depression,-1,20,1007,,
Gloria,1976,9,27,0,24.3,-58.2,tropical depression,-1,25,1005,,
Gloria,1976,9,27,6,24.9,-58.1,tropical depression,-1,30,1001,,
Gloria,1976,9,27,12,25.7,-58,tropical storm,0,35,997,,
Gloria,1976,9,27,18,26.3,-58,tropical storm,0,45,994,,
Gloria,1976,9,28,0,27,-58,tropical storm,0,55,993,,
Gloria,1976,9,28,6,27.5,-58.2,tropical storm,0,60,992,,
Gloria,1976,9,28,12,27.8,-58.6,tropical storm,0,60,992,,
Gloria,1976,9,28,18,28.2,-59,tropical storm,0,60,991,,
Gloria,1976,9,29,0,28.6,-59.5,tropical storm,0,60,988,,
Gloria,1976,9,29,6,29.1,-59.8,hurricane,1,65,984,,
Gloria,1976,9,29,12,29.7,-60.2,hurricane,1,65,979,,
Gloria,1976,9,29,18,30.2,-60.3,hurricane,1,70,973,,
Gloria,1976,9,30,0,31.1,-60.2,hurricane,1,80,970,,
Gloria,1976,9,30,6,32.2,-59.8,hurricane,2,85,971,,
Gloria,1976,9,30,12,33.1,-58.8,hurricane,2,90,977,,
Gloria,1976,9,30,18,34,-57.5,hurricane,2,90,981,,
Gloria,1976,10,1,0,34.7,-56.1,hurricane,2,90,985,,
Gloria,1976,10,1,6,35.3,-54.8,hurricane,2,85,988,,
Gloria,1976,10,1,12,35.7,-53.7,hurricane,1,80,990,,
Gloria,1976,10,1,18,36.1,-52.6,hurricane,1,75,992,,
Gloria,1976,10,2,0,36.4,-51.7,hurricane,1,70,993,,
Gloria,1976,10,2,6,36.6,-50.8,tropical storm,0,60,994,,
Gloria,1976,10,2,12,36.8,-49.9,tropical storm,0,60,995,,
Gloria,1976,10,2,18,36.9,-49,tropical storm,0,55,996,,
Gloria,1976,10,3,0,36.8,-48.3,tropical storm,0,50,997,,
Gloria,1976,10,3,6,36.4,-47.6,tropical storm,0,45,998,,
Gloria,1976,10,3,12,36.2,-46.9,tropical storm,0,40,999,,
Gloria,1976,10,3,18,35.8,-45.8,tropical storm,0,40,1001,,
Gloria,1976,10,4,0,35.7,-44.6,tropical storm,0,35,1002,,
Gloria,1976,10,4,6,36,-43,tropical depression,-1,30,1003,,
Gloria,1976,10,4,12,36.5,-41.4,tropical depression,-1,30,1005,,
Gloria,1976,10,4,18,37.4,-38.7,tropical depression,-1,30,1006,,
Anita,1977,8,29,12,26.9,-88.4,tropical depression,-1,20,1012,,
Anita,1977,8,29,18,27,-88.9,tropical depression,-1,25,1010,,
Anita,1977,8,30,0,26.9,-89.4,tropical depression,-1,30,1009,,
Anita,1977,8,30,6,26.8,-89.8,tropical storm,0,40,1006,,
Anita,1977,8,30,12,26.7,-90.3,tropical storm,0,50,1003,,
Anita,1977,8,30,18,26.5,-90.6,hurricane,1,65,997,,
Anita,1977,8,31,0,26.4,-91,hurricane,1,70,991,,
Anita,1977,8,31,6,26.3,-91.4,hurricane,1,75,988,,
Anita,1977,8,31,12,26.2,-91.8,hurricane,1,75,986,,
Anita,1977,8,31,18,26.1,-92.3,hurricane,1,80,985,,
Anita,1977,9,1,0,25.9,-92.8,hurricane,1,80,979,,
Anita,1977,9,1,6,25.8,-93.7,hurricane,2,85,972,,
Anita,1977,9,1,12,25.5,-94.7,hurricane,2,90,963,,
Anita,1977,9,1,18,25.2,-95.5,hurricane,3,110,945,,
Anita,1977,9,2,0,24.6,-96.2,hurricane,5,140,931,,
Anita,1977,9,2,6,24.2,-97.1,hurricane,5,150,926,,
Anita,1977,9,2,12,23.7,-98,hurricane,4,120,940,,
Anita,1977,9,2,18,23.1,-99.2,hurricane,1,70,978,,
